requirement_id,category,original_requirement,current_implementation,status,evidence,acceptance_gap,next_prompt,acceptance_test
FR-01,Functional,Discover one or more heterogeneous sources,"Product runtime registers one managed CSV source; wider source discovery and adapters exist",PARTIAL,"application/product_runtime.py; application/product_sources.py; tests/integration/sources; tests/compatibility/test_step32_compatibility.py","No multi-source product selection or run binding",Prompt02,"Bind PostgreSQL MySQL SQL Server and CSV to one run and prove all catalogs are runtime-produced"
FR-02,Functional,Profile source tables and columns with bounded evidence,"DataProfiler is executed on the Step29 CSV snapshot under OrderProductPolicy",PARTIAL,"application/product_runtime.py; adapters/profiling/dataprofiler.py; Step29 integration test","No accepted heterogeneous profile set in the product path",Prompt02,"Assert one complete profile artifact per selected source with snapshot hashes"
FR-03,Functional,Discover candidate keys and dependencies,"Desbordante dependency adapter is executed for the bounded order source; generic dependency contracts exist",PARTIAL,"application/product_runtime.py; adapters/dependencies/desbordante.py; tests/integration/dependencies","Identity candidate is bound to source-local order_id and is not generic or cross-source",Prompt02,"Verify candidate evidence and explicit decisions across all source snapshots"
FR-04,Functional,Discover hidden and declared relationships,"Relationship evidence is shown for the single source order contract",PARTIAL,"application/product_runtime.py; evidence_fusion.py; ProductSummary relationships","No cross-source relationship composition or source-row accounting",Prompt02,"Assert reviewed relationship decisions and allocation/accounting for cross-source edges"
FR-05,Functional,Match schemas across sources,"Schema-matching contracts, privacy policy, and isolated provider evidence exist; product runtime has no handler",ISOLATED_NOT_PRODUCT_WIRED,"domain/contracts/schema_matching.py; application/schema_matching.py; tests/integration/matching; product_runtime handler map","Selected multi-source stage would not be executed by the current product composition",Prompt02,"Use actual schema-matching service in a multi-source run and hash-bind results to snapshots"
FR-06,Functional,Diagnose data quality and preserve raw values,"QualityAnalysisService runs against source-faithful staged Parquet for the order path",PARTIAL,"application/product_policy.py; application/quality.py; adapters/quality/staged.py","Rules are order-specific and no heterogeneous acceptance verdict exists",Prompt02,"Run source-specific and shared quality rules with explicit issue disposition"
FR-07,Functional,Optionally resolve entities,"ER contracts and Splink provider evidence exist in isolated tests; product hypothesis always declares ER_NOT_REQUIRED",ISOLATED_NOT_PRODUCT_WIRED,"domain/contracts/entity_resolution.py; adapters/entity_resolution/splink.py; tests/integration/entity_resolution; product_runtime.py","No product-triggered cross-source ER proposal, review, or membership accounting",Prompt02,"Select ER only when required and compare reviewed memberships to a separate oracle"
FR-08,Functional,Build a canonical model with lineage,"Canonical finalization is executed for source-local order identities",PARTIAL,"application/canonical.py; product_runtime.py; Step29 integration test","No multi-source canonical hypotheses and current identity basis is source-local event identity",Prompt02,"Assert source_record_maps and terminal disposition for every source row"
FR-09,Functional,Build fact and dimension model with explicit grain and measures,"Typed analytical planner/compiler run an order model with fact_orders, dim_order, dim_date, and quantity measure",PARTIAL,"config/product/order_v1.json; application/product_policy.py; analytical contracts","Current product does not meet fact plus three dimensions and is not generic",Prompt03,"Run order and telemetry policies with explicit grain, three dimensions, and domain-reviewed measures"
FR-10,Functional,Materialize validated DuckDB target,"Real DuckDB materialization is part of the accepted Step29 path",PASS_BOUNDED,"adapters/materialization.py; tests/integration/test_step29_product_path.py","Only single-source order product has end-to-end proof",Prompt02,"Materialize multi-source target and verify target manifest and row counts"
