requirement_id,category,summary,source_of_truth,priority,verification_type,future_owner,future_gate,acceptance_criteria_id,status
PR-001,Product,"Solve pre-warehouse ambiguity by producing an evidence-backed canonical and validated OLAP-ready analytical package","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md; docs/product/PRODUCT_CONTRACT.md",MUST,"Product contract and release acceptance audit","Product Owner / Technical Lead",G0,"AC-001; AC-027",DEFINED
FR-001,Functional,"Discover supported sources, tables, columns, types, declared constraints and row estimates/sample counts","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-01",MUST,"Source adapter contract and integration tests","Senior Data Engineer / DBA",G3,"AC-004; AC-019",DEFINED
FR-002,Functional,"Profile relevant columns and tables with null, distinctness, distribution, type, pattern and observation-scope evidence","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-02",MUST,"Profiling contract tests and fixture review","Data Profiling Specialist",G3,"AC-005",DEFINED
FR-003,Functional,"Discover candidate unique, composite, business and near-unique keys with violation evidence","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-03",MUST,"Dependency/key evaluation","Dependency Discovery Engineer",G4,"AC-006",DEFINED
FR-004,Functional,"Discover hidden relationship candidates with inclusion, uniqueness, orphan, type, semantic and cardinality evidence","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-04",MUST,"Dependency and evidence-fusion evaluation","Dependency Discovery / Evidence Fusion",G5,"AC-006; AC-022",DEFINED
FR-005,Functional,"Generate ranked cross-source schema-match candidates with evidence and confidence semantics","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-05",MUST,"Schema matching contract and labeled evaluation","Schema Matching Engineer",G5,"AC-007; AC-023",DEFINED
FR-006,Functional,"Classify data-quality observations into issue classes and separate proposal, approval and execution","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-06; docs/06_DATA_QUALITY_AND_CLEANING_TAXONOMY.md",MUST,"Quality fixtures and negative acceptance tests","Data Quality Engineer",G3,"AC-008; AC-024",DEFINED
FR-007,Functional,"Optionally link selected entity families and assign canonical mappings while preserving source records","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-07",MUST,"Entity-resolution evaluation and lineage checks","Entity Resolution Engineer",G5,"AC-009; AC-022",DEFINED
FR-008,Functional,"Propose canonical business concepts, attributes and source mappings with lineage","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-08",MUST,"Canonical contract review and lineage tests","Canonical Data Model Engineer",G6,"AC-010; AC-028",DEFINED
FR-009,Functional,"Propose dimensions, facts, explicit grain, keys, measures and source mappings","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-09; docs/07_CANONICAL_AND_OLAP_MODELING_STRATEGY.md",MUST,"Analytical-model contract tests","OLAP Engineer / Semantic Layer Engineer",G6,"AC-011; AC-025",DEFINED
FR-010,Functional,"Compile an accepted plan into executable transformations and materialize the reference target in DuckDB","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-10",MUST,"Materializer integration test","OLAP Engineer / Data Engineer",G6,"AC-012; AC-027",DEFINED
FR-011,Functional,"Validate row/key/grain/referential/aggregate and record-loss conditions after materialization","docs/01_PROJECT_SCOPE_AND_REQUIREMENTS.md § FR-11; docs/08_BENCHMARK_AND_VALIDATION_PLAN.md",MUST,"Data QA reconciliation suite","Data QA Engineer",G6,"AC-013; AC-016; AC-019",DEFINED
